,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName
12,1,1,00:00:00:00:00:04,23210,35072192,aaltosea1,rohe_test_isntance,experiment1,1700834676,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,23324,35244560,aaltosea1,rohe_test_isntance,experiment1,1700834677,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,23451,35436584,aaltosea1,rohe_test_isntance,experiment1,1700834678,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,23571,35618024,aaltosea1,rohe_test_isntance,experiment1,1700834679,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,23686,35790434,aaltosea1,rohe_test_isntance,experiment1,1700834680,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,23792,35950706,aaltosea1,rohe_test_isntance,experiment1,1700834681,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,23913,36133658,aaltosea1,rohe_test_isntance,experiment1,1700834682,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,24027,36306026,aaltosea1,rohe_test_isntance,experiment1,1700834683,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,24141,36478394,aaltosea1,rohe_test_isntance,experiment1,1700834684,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,24255,36650762,aaltosea1,rohe_test_isntance,experiment1,1700834685,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,24311,36735434,aaltosea1,rohe_test_isntance,experiment1,1700834686,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,24420,36900242,aaltosea1,rohe_test_isntance,experiment1,1700834687,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,24610,37187522,aaltosea1,rohe_test_isntance,experiment1,1700834688,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,24718,37350818,aaltosea1,rohe_test_isntance,experiment1,1700834689,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,24837,37530746,aaltosea1,rohe_test_isntance,experiment1,1700834690,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,24933,37675898,aaltosea1,rohe_test_isntance,experiment1,1700834691,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,25049,37851290,aaltosea1,rohe_test_isntance,experiment1,1700834692,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,25156,38013074,aaltosea1,rohe_test_isntance,experiment1,1700834693,rohe_test_stage,sdn
